"1","Create LLDP Agent Object","port.lldp.agents.create()","Create an LLDP agent on the port."
"2","Obtain LLDP Agent Object","port.lldp.agents.obtain()","Obtain an existing LLDP agent object by index."
"3","Obtain Multiple LLDP Agent Objects","port.lldp.agents.obtain_multiple()","Obtain multiple existing LLDP agent objects by indices."
"4","Sync Existing LLDP Agents","port.lldp.agents.server_sync()","Sync existing LLDP agents from the port to the script."
"5","Get LLDP Agent Index","lldp_agent.idx","Get the LLDP agent index."
"6","Get LLDP Agent Module Index","lldp_agent.kind.module_id","Get the module index of the LLDP agent."
"7","Get LLDP Agent Port Index","lldp_agent.kind.port_id","Get the port index of the LLDP agent."
"8","Remove LLDP Agent by Index","port.lldp.agents.remove()","Remove an LLDP agent from the port by index."
"9","Remove LLDP Agent by Object","lldp_agent.delete()","Remove an LLDP agent by deleting the LLDP agent object."
"10","Set LLDP Agent Time Parameters","lldp_agent.config.set()","Configure LLDP agent time parameters."
"11","Get LLDP Agent Time Parameters","lldp_agent.config.get()","Get LLDP agent time parameters."
"12","Set LLDP Agent Frame Header","lldp_agent.header.set()","Configure the LLDP agent Ethernet frame header."
"13","Get LLDP Agent Frame Header","lldp_agent.header.get()","Get the LLDP agent frame header configuration."
"14","Set LLDP Agent LLDPDU","lldp_agent.lldpdu.set()","Configure the LLDPDU payload for the LLDP agent."
"15","Get LLDP Agent LLDPDU","lldp_agent.lldpdu.get()","Get the LLDPDU payload of the LLDP agent."
"16","Set LLDP Agent Opmode Disable","lldp_agent.opmode.set_disable()","Set LLDP agent operation mode to disable."
"17","Set LLDP Agent Opmode TX Only","lldp_agent.opmode.set_tx_only()","Set LLDP agent operation mode to TX only."
"18","Set LLDP Agent Opmode RX Only","lldp_agent.opmode.set_rx_only()","Set LLDP agent operation mode to RX only."
"19","Set LLDP Agent Opmode TX/RX","lldp_agent.opmode.set_tx_rx()","Set LLDP agent operation mode to TX/RX."
"20","Get LLDP Agent Opmode","lldp_agent.opmode.get()","Get the current LLDP agent operation mode."
"21","Get LLDP Statistics","port.lldp.statistics.get()","Get LLDP statistics from the port."
"22","Get LLDP Neighbor Information","port.lldp.neighbors.get()","Get LLDP neighbor information from the port."
"23","Clear LLDP Counters (All)","port.lldp.clear.clear_all()","Clear all LLDP counters."
"24","Clear LLDP Counters (Neighbor)","port.lldp.clear.clear_neighbor()","Clear LLDP neighbor counters."
"25","Clear LLDP Counters (Stats)","port.lldp.clear.clear_stats()","Clear LLDP statistics counters."
"26","Clear LLDP Counters (None)","port.lldp.clear.clear_none()","Set LLDP clear action to none."
